"time","close","open","high","low","volume","day_before_ratio"
"2018年06月29日","686,266","653,499","694,500","646,170","7.61K","5.01%"
"2018年06月28日","653,499","679,146","680,963","650,001","4.95K","-3.78%"
"2018年06月27日","679,146","673,064","683,825","650,000","5.44K","0.90%"
"2018年06月26日","673,064","690,637","692,907","671,000","5.00K","-2.54%"
"2018年06月25日","690,637","679,992","735,000","672,074","7.05K","1.57%"
"2018年06月24日","679,992","684,326","694,379","644,400","10.19K","-0.63%"
"2018年06月23日","684,326","675,980","697,868","670,489","6.63K","1.23%"
"2018年06月22日","675,980","741,243","742,603","655,555","18.44K","-8.80%"
"2018年06月21日","741,243","747,300","751,881","738,279","6.88K","-0.81%"
"2018年06月20日","747,300","743,575","751,937","725,000","7.60K","0.50%"
"2018年06月19日","743,575","739,806","751,653","733,311","6.33K","0.51%"
"2018年06月18日","739,806","716,078","749,850","708,100","10.22K","3.31%"
"2018年06月17日","716,078","721,001","728,970","713,930","4.47K","-0.68%"
"2018年06月16日","721,001","711,596","728,800","705,825","6.39K","1.32%"
"2018年06月15日","711,596","737,999","740,054","707,501","10.41K","-3.58%"
"2018年06月14日","737,999","702,000","761,528","697,027","15.74K","5.13%"
"2018年06月13日","702,000","729,990","744,258","688,501","15.50K","-3.83%"
"2018年06月12日","729,990","764,285","764,900","723,046","10.37K","-4.49%"
"2018年06月11日","764,285","745,000","766,700","735,718","13.14K","2.59%"
"2018年06月10日","745,000","824,700","824,700","731,147","14.95K","-9.66%"
"2018年06月09日","824,700","835,944","844,000","822,000","3.69K","-1.35%"
"2018年06月08日","835,944","844,943","847,422","827,000","6.23K","-1.07%"
"2018年06月07日","844,943","844,654","854,937","839,045","6.49K","0.03%"
"2018年06月06日","844,654","837,110","851,466","826,822","7.43K","0.90%"
"2018年06月05日","837,110","825,495","840,000","812,500","8.66K","1.41%"
"2018年06月04日","825,495","846,108","850,000","819,000","8.14K","-2.44%"
"2018年06月03日","846,108","832,000","847,670","830,970","5.67K","1.70%"
"2018年06月02日","832,000","823,764","840,980","817,909","8.25K","1.00%"
"2018年06月01日","823,764","816,163","831,570","810,000","7.79K","0.93%"
"2018年05月31日","816,163","806,049","830,556","801,040","9.51K","1.25%"
"2018年05月30日","806,049","814,034","826,091","797,267","11.28K","-0.98%"
"2018年05月29日","814,034","780,542","830,000","773,004","12.72K","4.29%"
"2018年05月28日","780,542","810,874","821,330","778,369","10.83K","-3.74%"
"2018年05月27日","810,874","809,200","815,960","800,000","6.28K","0.21%"
"2018年05月26日","809,200","822,243","838,790","803,000","6.39K","-1.59%"
"2018年05月25日","822,243","831,994","844,330","810,010","12.58K","-1.17%"
"2018年05月24日","831,994","830,500","855,969","806,816","16.25K","0.18%"
"2018年05月23日","830,500","891,680","894,970","827,000","18.77K","-6.86%"
"2018年05月22日","891,680","933,700","935,000","885,050","10.40K","-4.50%"
"2018年05月21日","933,700","944,490","951,696","926,270","9.25K","-1.14%"
"2018年05月20日","944,490","911,908","948,000","906,574","8.40K","3.57%"
"2018年05月19日","911,908","914,768","929,989","896,139","8.89K","-0.31%"
"2018年05月18日","914,768","894,214","921,930","881,431","11.80K","2.30%"
"2018年05月17日","894,214","921,997","933,820","887,767","13.19K","-3.01%"
"2018年05月16日","921,997","936,657","939,755","901,005","17.37K","-1.57%"
"2018年05月15日","936,657","954,500","975,000","931,099","15.58K","-1.87%"
"2018年05月14日","954,500","954,446","983,868","915,165","19.32K","0.01%"
"2018年05月13日","954,446","928,209","965,000","916,165","12.93K","2.83%"
"2018年05月12日","928,209","913,999","1,000,000","895,970","16.99K","1.55%"
"2018年05月11日","913,999","981,950","984,960","903,600","17.01K","-6.92%"
"2018年05月10日","981,950","1,015,444","1,021,997","968,963","12.52K","-3.30%"
"2018年05月09日","1,015,444","995,400","1,031,790","980,000","12.35K","2.01%"
"2018年05月08日","995,400","1,018,771","1,027,900","984,950","14.69K","-2.29%"
"2018年05月07日","1,018,771","1,049,479","1,051,000","1,002,204","17.03K","-2.93%"
"2018年05月06日","1,049,479","1,072,007","1,079,080","1,026,004","14.87K","-2.10%"
"2018年05月05日","1,072,007","1,054,800","1,083,035","1,053,011","10.95K","1.63%"
"2018年05月04日","1,054,800","1,060,422","1,063,050","1,036,474","10.91K","-0.53%"
"2018年05月03日","1,060,422","1,009,408","1,068,000","1,003,085","16.11K","5.05%"
"2018年05月02日","1,009,408","995,247","1,013,000","986,500","10.63K","1.42%"
"2018年05月01日","995,247","1,010,790","1,011,998","971,273","15.16K","-1.54%"
"2018年04月30日","1,010,790","1,019,860","1,021,490","990,390","10.84K","-0.89%"
"2018年04月29日","1,019,860","1,003,849","1,023,271","1,000,100","15.86K","1.59%"
"2018年04月28日","1,003,849","974,206","1,030,000","967,750","18.22K","3.04%"
"2018年04月27日","974,206","1,007,348","1,023,996","969,500","17.24K","-3.29%"
"2018年04月26日","1,007,348","970,000","1,012,299","942,310","25.38K","3.85%"
"2018年04月25日","970,000","1,059,800","1,066,500","957,684","36.88K","-8.47%"
"2018年04月24日","1,059,800","974,000","1,069,997","972,000","25.21K","8.81%"
"2018年04月23日","974,000","948,525","974,500","946,788","13.07K","2.69%"
"2018年04月22日","948,525","959,572","968,875","945,000","14.14K","-1.15%"
"2018年04月21日","959,572","956,500","976,440","929,001","20.12K","0.32%"
"2018年04月20日","956,500","892,257","980,000","887,000","18.80K","7.20%"
"2018年04月19日","892,257","876,662","894,499","870,520","12.96K","1.78%"
"2018年04月18日","876,662","848,360","881,387","846,756","12.99K","3.34%"
"2018年04月17日","848,360","865,466","874,150","836,114","14.95K","-1.98%"
"2018年04月16日","865,466","901,500","907,970","849,788","20.52K","-4.00%"
"2018年04月15日","901,500","859,000","903,148","858,625","15.17K","4.95%"
"2018年04月14日","859,000","846,501","879,637","840,000","16.45K","1.48%"
"2018年04月13日","846,501","849,555","888,000","827,753","29.61K","-0.36%"
"2018年04月12日","849,555","742,231","858,500","725,000","27.04K","14.46%"
"2018年04月11日","742,231","733,827","745,579","730,000","6.88K","1.15%"
"2018年04月10日","733,827","726,910","738,719","715,157","11.00K","0.95%"
"2018年04月09日","726,910","752,293","769,787","709,087","17.96K","-3.37%"
"2018年04月08日","752,293","738,237","759,810","737,991","10.22K","1.90%"
"2018年04月07日","738,237","711,892","752,522","709,901","12.74K","3.70%"
"2018年04月06日","711,892","730,720","739,850","703,191","16.36K","-2.58%"
"2018年04月05日","730,720","730,003","746,477","705,316","20.14K","0.10%"
"2018年04月04日","730,003","795,552","796,203","721,112","20.48K","-8.24%"
"2018年04月03日","795,552","752,438","804,500","747,370","23.48K","5.73%"
"2018年04月02日","752,438","727,792","816,430","723,950","17.54K","3.39%"
"2018年04月01日","727,792","744,025","755,888","684,000","20.23K","-2.18%"
"2018年03月31日","744,025","729,449","770,663","729,449","19.09K","2.00%"
"2018年03月30日","729,449","750,367","777,006","705,236","30.79K","-2.79%"
"2018年03月29日","750,367","852,101","854,708","744,973","25.07K","-11.94%"
"2018年03月28日","852,101","828,715","860,959","823,610","14.77K","2.82%"
"2018年03月27日","828,715","867,391","872,834","825,000","21.08K","-4.46%"
"2018年03月26日","867,391","894,936","899,398","833,337","19.63K","-3.08%"
"2018年03月25日","894,936","905,978","913,999","887,010","16.58K","-1.22%"
"2018年03月24日","905,978","944,499","945,940","901,776","18.82K","-4.08%"
"2018年03月23日","944,499","922,014","945,000","875,320","24.56K","2.44%"
"2018年03月22日","922,014","950,000","968,839","902,602","20.94K","-2.95%"
"2018年03月21日","950,000","960,000","983,989","942,050","20.12K","-1.04%"
"2018年03月20日","960,000","925,880","972,020","900,030","23.14K","3.69%"
"2018年03月19日","925,880","869,677","938,585","869,542","28.08K","6.46%"
"2018年03月18日","869,677","843,070","885,000","780,000","29.55K","3.16%"
"2018年03月17日","843,070","883,517","893,670","831,000","18.24K","-4.58%"
"2018年03月16日","883,517","886,506","920,900","851,000","23.72K","-0.34%"
"2018年03月15日","886,506","881,601","902,980","827,001","30.18K","0.56%"
"2018年03月14日","881,601","983,020","1,004,399","850,710","24.57K","-10.32%"
"2018年03月13日","983,020","979,290","1,018,660","960,000","23.76K","0.38%"
"2018年03月12日","979,290","1,025,265","1,064,000","938,837","25.53K","-4.48%"
"2018年03月11日","1,025,265","950,000","1,045,999","918,090","25.04K","7.92%"
"2018年03月10日","950,000","996,405","1,018,989","939,000","18.47K","-4.66%"
"2018年03月09日","996,405","999,330","1,066,720","902,000","31.16K","-0.29%"
"2018年03月08日","999,330","1,051,214","1,089,888","992,011","26.47K","-4.94%"
"2018年03月07日","1,051,214","1,137,737","1,159,634","1,010,800","27.29K","-7.60%"
"2018年03月06日","1,137,737","1,225,810","1,225,997","1,115,960","20.80K","-7.18%"
"2018年03月05日","1,225,810","1,209,365","1,245,000","1,184,830","13.35K","1.36%"
"2018年03月04日","1,209,365","1,214,103","1,214,884","1,170,989","13.27K","-0.39%"
"2018年03月03日","1,214,103","1,170,125","1,216,780","1,169,010","14.93K","3.76%"
"2018年03月02日","1,170,125","1,161,983","1,187,978","1,143,154","15.57K","0.70%"
"2018年03月01日","1,161,983","1,105,021","1,177,000","1,094,632","16.12K","5.15%"
"2018年02月28日","1,105,021","1,142,979","1,188,000","1,099,990","21.40K","-3.32%"
"2018年02月27日","1,142,979","1,108,380","1,162,800","1,090,020","20.97K","3.12%"
"2018年02月26日","1,108,380","1,033,590","1,116,700","1,002,000","23.98K","7.24%"
"2018年02月25日","1,033,590","1,049,365","1,058,000","985,423","21.25K","-1.50%"
"2018年02月24日","1,049,365","1,094,321","1,127,990","1,007,540","21.83K","-4.11%"
"2018年02月23日","1,094,321","1,055,610","1,126,770","1,025,560","23.86K","3.67%"
"2018年02月22日","1,055,610","1,149,988","1,189,060","1,045,000","25.58K","-8.21%"
"2018年02月21日","1,149,988","1,217,180","1,220,280","1,114,591","27.64K","-5.52%"
"2018年02月20日","1,217,180","1,202,004","1,275,190","1,201,997","23.84K","1.26%"
"2018年02月19日","1,202,004","1,117,984","1,210,000","1,110,500","20.41K","7.52%"
"2018年02月18日","1,117,984","1,188,036","1,255,555","1,090,000","35.69K","-5.90%"
"2018年02月17日","1,188,036","1,089,298","1,193,000","1,078,127","25.64K","9.06%"
"2018年02月16日","1,089,298","1,075,434","1,100,000","1,040,000","22.83K","1.29%"
"2018年02月15日","1,075,434","1,015,216","1,088,054","998,700","30.62K","5.93%"
"2018年02月14日","1,015,216","924,633","1,024,800","924,631","23.35K","9.80%"
"2018年02月13日","924,633","972,007","977,431","911,111","23.49K","-4.87%"
"2018年02月12日","972,007","887,384","980,000","887,225","23.46K","9.54%"
"2018年02月11日","887,384","940,442","940,442","860,010","27.39K","-5.64%"
"2018年02月10日","940,442","953,639","992,600","904,112","28.91K","-1.38%"
"2018年02月09日","953,639","896,989","956,484","857,340","27.25K","6.32%"
"2018年02月08日","896,989","823,714","943,699","823,714","35.99K","8.90%"
"2018年02月07日","823,714","841,751","928,000","781,510","43.11K","-2.14%"
"2018年02月06日","841,751","741,000","859,000","645,650","63.20K","13.60%"
"2018年02月05日","741,000","890,468","910,000","726,586","41.33K","-16.79%"
"2018年02月04日","890,468","997,080","998,497","860,870","28.43K","-10.69%"
"2018年02月03日","997,080","954,291","1,022,570","881,000","30.04K","4.48%"
"2018年02月02日","954,291","964,000","977,000","779,001","48.56K","-1.01%"
"2018年02月01日","964,000","1,108,417","1,116,280","927,095","28.42K","-13.03%"
"2018年01月31日","1,108,417","1,085,000","1,136,000","1,049,000","18.78K","2.16%"
"2018年01月30日","1,085,000","1,218,143","1,224,000","1,070,251","18.10K","-10.93%"
"2018年01月29日","1,218,143","1,266,010","1,275,960","1,206,300","13.05K","-3.78%"
"2018年01月28日","1,266,010","1,252,440","1,289,899","1,232,356","10.44K","1.08%"
"2018年01月27日","1,252,440","1,182,999","1,279,000","1,168,670","14.77K","5.87%"
"2018年01月26日","1,182,999","1,235,505","1,277,999","1,118,000","18.40K","-4.25%"
"2018年01月25日","1,235,505","1,246,799","1,283,850","1,216,387","14.18K","-0.91%"
"2018年01月24日","1,246,799","1,202,968","1,274,047","1,174,766","19.08K","3.64%"
"2018年01月23日","1,202,968","1,222,150","1,248,027","1,130,870","21.47K","-1.57%"
"2018年01月22日","1,222,150","1,304,989","1,336,666","1,133,000","26.68K","-6.35%"
"2018年01月21日","1,304,989","1,445,468","1,448,000","1,260,006","17.78K","-9.72%"
"2018年01月20日","1,445,468","1,310,005","1,473,920","1,307,500","21.28K","10.34%"
"2018年01月19日","1,310,005","1,288,790","1,358,000","1,236,437","22.25K","1.65%"
"2018年01月18日","1,288,790","1,286,351","1,405,500","1,242,190","34.67K","0.19%"
"2018年01月17日","1,286,351","1,303,536","1,354,370","1,048,000","49.67K","-1.32%"
"2018年01月16日","1,303,536","1,679,209","1,681,000","1,015,000","33.67K","-22.37%"
"2018年01月15日","1,679,209","1,690,950","1,717,868","1,669,904","7.09K","-0.69%"
"2018年01月14日","1,690,950","1,744,658","1,762,899","1,645,780","8.50K","-3.08%"
"2018年01月13日","1,744,658","1,687,004","1,756,310","1,675,610","8.92K","3.42%"
"2018年01月12日","1,687,004","1,660,000","1,738,010","1,617,257","15.88K","1.63%"
"2018年01月11日","1,660,000","1,830,351","1,842,960","1,634,580","15.92K","-9.31%"
"2018年01月10日","1,830,351","1,844,541","1,873,270","1,747,180","14.94K","-0.77%"
"2018年01月09日","1,844,541","1,861,375","1,941,762","1,803,559","12.56K","-0.90%"
"2018年01月08日","1,861,375","1,944,975","1,955,003","1,790,880","12.18K","-4.30%"
"2018年01月07日","1,944,975","1,991,979","1,998,729","1,916,001","5.71K","-2.36%"
"2018年01月06日","1,991,979","1,996,000","2,003,766","1,905,000","8.00K","-0.20%"
"2018年01月05日","1,996,000","1,832,028","2,008,000","1,807,755","22.14K","8.95%"
"2018年01月04日","1,832,028","1,756,861","1,848,540","1,750,001","13.28K","4.28%"
"2018年01月03日","1,756,861","1,725,726","1,798,566","1,705,120","9.86K","1.80%"
"2018年01月02日","1,725,726","1,635,320","1,760,110","1,600,000","11.07K","5.53%"
"2018年01月01日","1,635,320","1,673,600","1,684,270","1,568,150","10.83K","-2.29%"
"2017年12月31日","1,673,600","1,520,180","1,713,306","1,502,242","21.03K","10.09%"
"2017年12月30日","1,520,180","1,723,501","1,731,434","1,500,000","18.58K","-11.80%"
"2017年12月29日","1,723,501","1,698,979","1,771,405","1,665,350","14.72K","1.44%"
"2017年12月28日","1,698,979","1,789,005","1,797,800","1,601,002","23.06K","-5.03%"
"2017年12月27日","1,789,005","1,828,770","1,935,700","1,708,821","22.19K","-2.17%"
"2017年12月26日","1,828,770","1,605,000","1,858,545","1,601,730","19.73K","13.94%"
