"time","close","open","high","low","volume","day_before_ratio"
"2017年10月24日","625,146","671,481","673,964","616,845","37.33K","-6.90%"
"2017年10月23日","671,481","681,259","690,000","646,000","35.63K","-1.44%"
"2017年10月22日","681,259","685,547","690,641","656,654","25.57K","-0.63%"
"2017年10月21日","685,547","675,038","700,200","674,000","20.51K","1.56%"
"2017年10月20日","675,038","637,865","679,400","628,026","23.85K","5.83%"
"2017年10月19日","637,865","629,000","642,000","622,050","21.56K","1.41%"
"2017年10月18日","629,000","629,768","632,372","571,000","31.32K","-0.12%"
"2017年10月17日","629,768","641,822","643,000","621,128","15.29K","-1.88%"
"2017年10月16日","641,822","638,776","645,000","622,000","17.39K","0.48%"
"2017年10月15日","638,776","648,460","650,505","605,500","24.35K","-1.49%"
"2017年10月14日","648,460","631,533","649,751","623,333","16.74K","2.68%"
"2017年10月13日","631,533","614,500","660,000","605,506","36.56K","2.77%"
"2017年10月12日","614,500","537,859","614,977","536,060","31.93K","14.25%"
"2017年10月11日","537,859","536,000","542,999","529,117","16.25K","0.35%"
"2017年10月10日","536,000","532,068","549,800","529,500","21.13K","0.74%"
"2017年10月09日","532,068","512,458","537,145","506,380","18.28K","3.83%"
"2017年10月08日","512,458","493,181","513,759","493,100","14.95K","3.91%"
"2017年10月07日","493,181","490,960","496,240","483,136","10.99K","0.45%"
"2017年10月06日","490,960","484,414","495,084","480,291","13.74K","1.35%"
"2017年10月05日","484,414","475,976","489,850","463,819","15.27K","1.77%"
"2017年10月04日","475,976","488,000","488,929","471,131","12.09K","-2.46%"
"2017年10月03日","488,000","493,588","497,350","477,928","14.88K","-1.13%"
"2017年10月02日","493,588","488,150","498,944","486,869","14.06K","1.11%"
"2017年10月01日","488,150","485,219","489,500","475,066","13.61K","0.60%"
"2017年09月30日","485,219","463,158","487,441","462,500","17.73K","4.76%"
"2017年09月29日","463,158","465,990","468,000","446,120","16.53K","-0.61%"
"2017年09月28日","465,990","468,510","476,800","458,603","16.45K","-0.54%"
"2017年09月27日","468,510","430,299","471,499","429,999","16.69K","8.88%"
"2017年09月26日","430,299","435,637","437,280","428,200","9.52K","-1.23%"
"2017年09月25日","435,637","412,640","439,000","412,100","15.11K","5.57%"
"2017年09月24日","412,640","424,299","424,500","409,610","10.43K","-2.75%"
"2017年09月23日","424,299","404,830","428,500","401,500","13.74K","4.81%"
"2017年09月22日","404,830","409,647","419,564","398,540","14.83K","-1.18%"
"2017年09月21日","409,647","431,999","436,440","405,310","15.43K","-5.17%"
"2017年09月20日","431,999","429,414","444,451","421,999","13.28K","0.60%"
"2017年09月19日","429,414","452,270","455,026","426,660","20.31K","-5.05%"
"2017年09月18日","452,270","401,879","452,300","401,000","24.82K","12.54%"
"2017年09月17日","401,879","405,795","415,080","381,214","16.06K","-0.97%"
"2017年09月16日","405,795","416,530","429,800","375,460","24.92K","-2.58%"
"2017年09月15日","416,530","313,500","431,132","313,000","44.85K","32.86%"
"2017年09月14日","313,500","425,554","431,710","304,860","30.27K","-26.33%"
"2017年09月13日","425,554","458,799","458,900","414,000","23.69K","-7.25%"
"2017年09月12日","458,799","459,300","474,820","450,052","14.93K","-0.11%"
"2017年09月11日","459,300","456,000","468,520","451,000","13.37K","0.72%"
"2017年09月10日","456,000","466,300","466,300","434,000","18.29K","-2.21%"
"2017年09月09日","466,300","479,712","479,760","454,500","13.47K","-2.80%"
"2017年09月08日","479,712","502,110","505,555","450,001","18.10K","-4.46%"
"2017年09月07日","502,110","506,347","507,777","496,397","10.05K","-0.84%"
"2017年09月06日","506,347","493,900","510,000","491,100","15.85K","2.52%"
"2017年09月05日","493,900","485,001","499,624","450,000","28.52K","1.83%"
"2017年09月04日","485,001","522,530","523,270","470,600","23.20K","-7.18%"
"2017年09月03日","522,530","516,000","541,100","501,100","17.87K","1.27%"
"2017年09月02日","516,000","547,797","566,350","502,000","22.84K","-5.80%"
"2017年09月01日","547,797","523,300","548,000","520,030","13.24K","4.68%"
"2017年08月31日","523,300","503,825","525,500","503,757","10.18K","3.87%"
"2017年08月30日","503,825","499,600","509,370","492,810","11.47K","0.85%"
"2017年08月29日","499,600","478,330","502,179","475,500","9.13K","4.45%"
"2017年08月28日","478,330","477,244","480,000","461,613","9.44K","0.23%"
"2017年08月27日","477,244","474,401","479,500","474,010","5.19K","0.60%"
"2017年08月26日","474,401","476,820","478,200","470,630","5.78K","-0.51%"
"2017年08月25日","476,820","472,740","482,000","468,020","9.97K","0.86%"
"2017年08月24日","472,740","454,324","475,600","451,812","9.74K","4.05%"
"2017年08月23日","454,324","451,782","466,410","447,607","12.64K","0.56%"
"2017年08月22日","451,782","433,266","455,726","395,921","21.66K","4.27%"
"2017年08月21日","433,266","449,300","452,000","430,000","9.02K","-3.57%"
"2017年08月20日","449,300","458,358","460,278","442,000","7.54K","-1.98%"
"2017年08月19日","458,358","455,540","462,380","439,000","12.89K","0.62%"
"2017年08月18日","455,540","471,243","479,000","444,000","13.75K","-3.33%"
"2017年08月17日","471,243","485,555","490,000","469,998","14.16K","-2.95%"
"2017年08月16日","485,555","465,571","486,400","443,000","16.07K","4.29%"
"2017年08月15日","465,571","477,100","498,200","441,674","23.49K","-2.42%"
"2017年08月14日","477,100","451,101","478,199","450,070","14.99K","5.76%"
"2017年08月13日","451,101","429,944","468,820","429,844","20.89K","4.92%"
"2017年08月12日","429,944","399,501","434,990","397,390","16.46K","7.62%"
"2017年08月11日","399,501","376,266","403,200","375,660","10.69K","6.18%"
"2017年08月10日","376,266","373,227","380,890","370,000","8.52K","0.81%"
"2017年08月09日","373,227","384,001","385,407","362,200","13.84K","-2.81%"
"2017年08月08日","384,001","380,398","393,714","376,540","18.82K","0.95%"
"2017年08月07日","380,398","358,949","380,500","355,048","14.41K","5.98%"
"2017年08月06日","358,949","362,700","368,915","346,000","14.74K","-1.03%"
"2017年08月05日","362,700","319,330","369,899","318,629","25.42K","13.58%"
"2017年08月04日","319,330","309,191","319,999","307,000","9.03K","3.28%"
"2017年08月03日","309,191","301,419","310,005","300,280","7.35K","2.58%"
"2017年08月02日","301,419","304,219","307,421","297,431","8.61K","-0.92%"
"2017年08月01日","304,219","324,260","334,444","281,500","17.89K","-6.18%"
"2017年07月31日","324,260","305,242","334,710","301,000","12.81K","6.23%"
"2017年07月30日","305,242","302,240","308,210","294,500","7.57K","0.99%"
"2017年07月29日","302,240","308,750","310,200","299,851","8.01K","-2.11%"
"2017年07月28日","308,750","294,441","312,548","294,441","17.28K","4.86%"
"2017年07月27日","294,441","283,240","298,500","282,060","11.36K","3.95%"
"2017年07月26日","283,240","286,300","291,680","275,555","16.86K","-1.07%"
"2017年07月25日","286,300","307,596","309,001","273,301","23.13K","-6.92%"
"2017年07月24日","307,596","304,815","309,300","301,933","9.23K","0.91%"
"2017年07月23日","304,815","309,004","313,000","296,180","16.67K","-1.36%"
"2017年07月22日","309,004","289,830","318,000","287,075","17.76K","6.62%"
"2017年07月21日","289,830","313,945","315,002","282,340","26.91K","-7.68%"
"2017年07月20日","313,945","255,500","322,584","255,222","31.33K","22.87%"
"2017年07月19日","255,500","258,599","268,000","248,120","25.55K","-1.20%"
"2017年07月18日","258,599","255,000","268,000","241,470","23.91K","1.41%"
"2017年07月17日","255,000","216,022","256,218","215,190","24.24K","18.04%"
"2017年07月16日","216,022","226,451","232,700","206,000","20.38K","-4.61%"
"2017年07月15日","226,451","253,540","254,350","217,690","27.73K","-10.68%"
"2017年07月14日","253,540","267,990","269,940","250,000","12.42K","-5.39%"
"2017年07月13日","267,990","272,350","276,799","264,489","9.51K","-1.60%"
"2017年07月12日","272,350","266,592","274,839","258,888","13.13K","2.16%"
"2017年07月11日","266,592","273,753","277,930","265,850","14.62K","-2.62%"
"2017年07月10日","273,753","288,855","289,750","267,370","15.44K","-5.23%"
"2017年07月09日","288,855","291,821","293,333","288,500","4.82K","-1.02%"
"2017年07月08日","291,821","288,084","291,988","285,693","5.62K","1.30%"
"2017年07月07日","288,084","293,850","294,350","285,432","8.89K","-1.96%"
"2017年07月06日","293,850","292,127","294,710","290,650","7.47K","0.59%"
"2017年07月05日","292,127","292,501","295,800","286,220","9.24K","-0.13%"
"2017年07月04日","292,501","287,924","298,800","287,072","11.38K","1.59%"
"2017年07月03日","287,924","281,330","290,101","280,250","10.22K","2.34%"
"2017年07月02日","281,330","276,600","282,839","268,100","9.88K","1.71%"
"2017年07月01日","276,600","281,633","282,530","275,930","5.82K","-1.79%"
"2017年06月30日","281,633","284,610","287,780","279,986","7.78K","-1.05%"
"2017年06月29日","284,610","288,625","291,230","279,900","8.83K","-1.39%"
"2017年06月28日","288,625","284,200","290,570","274,500","11.41K","1.56%"
"2017年06月27日","284,200","287,100","289,799","262,000","17.57K","-1.01%"
"2017年06月26日","287,100","293,400","298,500","268,353","18.39K","-2.15%"
"2017年06月25日","293,400","292,500","299,380","285,438","8.20K","0.31%"
"2017年06月24日","292,500","305,599","307,229","286,500","6.57K","-4.29%"
"2017年06月23日","305,599","303,101","309,199","303,101","5.30K","0.82%"
"2017年06月22日","303,101","299,799","304,339","299,300","5.75K","1.10%"
"2017年06月21日","299,799","296,976","307,406","296,587","10.43K","0.95%"
"2017年06月20日","296,976","293,601","300,333","292,550","7.23K","1.15%"
"2017年06月19日","293,601","286,300","295,430","285,688","7.87K","2.55%"
"2017年06月18日","286,300","302,002","304,999","282,100","10.55K","-5.20%"
"2017年06月17日","302,002","284,580","305,051","278,700","10.29K","6.12%"
"2017年06月16日","284,580","283,202","288,400","264,816","16.10K","0.49%"
"2017年06月15日","283,202","287,850","288,000","250,600","26.89K","-1.61%"
"2017年06月14日","287,850","304,130","314,000","258,400","17.12K","-5.35%"
"2017年06月13日","304,130","312,775","314,000","300,058","11.40K","-2.76%"
"2017年06月12日","312,775","329,050","338,300","295,000","20.55K","-4.95%"
"2017年06月11日","329,050","319,299","329,999","318,960","7.09K","3.05%"
"2017年06月10日","319,299","313,000","321,795","312,501","7.11K","2.01%"
"2017年06月09日","313,000","308,770","314,710","308,660","7.46K","1.37%"
"2017年06月08日","308,770","294,199","310,990","288,000","11.67K","4.95%"
"2017年06月07日","294,199","318,988","319,000","288,933","14.57K","-7.77%"
"2017年06月06日","318,988","303,401","322,900","303,401","15.07K","5.14%"
"2017年06月05日","303,401","286,000","305,710","285,810","9.10K","6.08%"
"2017年06月04日","286,000","287,500","288,850","283,500","5.68K","-0.52%"
"2017年06月03日","287,500","278,000","292,300","275,000","8.30K","3.42%"
"2017年06月02日","278,000","272,999","278,690","269,070","10.32K","1.83%"
"2017年06月01日","272,999","265,000","279,000","263,999","10.35K","3.02%"
"2017年05月31日","265,000","261,000","269,989","259,000","9.59K","1.53%"
"2017年05月30日","261,000","273,597","276,000","254,376","11.39K","-4.60%"
"2017年05月29日","273,597","265,257","281,400","261,800","9.17K","3.14%"
"2017年05月28日","265,257","255,989","276,649","250,000","14.49K","3.62%"
"2017年05月27日","255,989","269,000","269,429","203,690","19.86K","-4.84%"
"2017年05月26日","269,000","280,000","310,123","235,000","23.96K","-3.93%"
"2017年05月25日","280,000","302,905","347,789","232,000","23.50K","-7.56%"
"2017年05月24日","302,905","295,014","303,860","293,830","16.37K","2.67%"
"2017年05月23日","295,014","277,713","300,000","272,200","16.53K","6.23%"
"2017年05月22日","277,713","261,100","285,695","260,570","18.60K","6.36%"
"2017年05月21日","261,100","258,900","275,810","249,311","13.36K","0.85%"
"2017年05月20日","258,900","233,001","298,800","233,001","14.21K","11.12%"
"2017年05月19日","233,001","225,500","234,430","225,500","14.19K","3.33%"
"2017年05月18日","225,500","214,743","225,555","214,501","11.55K","5.01%"
"2017年05月17日","214,743","207,453","221,960","207,453","15.80K","3.51%"
"2017年05月16日","207,453","207,000","208,544","204,355","9.71K","0.22%"
"2017年05月15日","207,000","211,700","211,898","203,020","11.76K","-2.22%"
"2017年05月14日","211,700","207,641","213,500","206,470","6.28K","1.95%"
"2017年05月13日","207,641","196,404","208,649","185,750","14.91K","5.72%"
"2017年05月12日","196,404","214,851","215,730","195,765","12.40K","-8.59%"
"2017年05月11日","214,851","214,560","216,980","211,106","9.38K","0.14%"
"2017年05月10日","214,560","208,999","216,778","208,902","11.80K","2.66%"
"2017年05月09日","208,999","198,772","214,000","197,600","17.87K","5.15%"
"2017年05月08日","198,772","182,449","199,850","182,448","18.67K","8.95%"
"2017年05月07日","182,449","177,580","183,810","176,250","6.01K","2.74%"
"2017年05月06日","177,580","175,096","177,949","173,248","4.35K","1.42%"
"2017年05月05日","175,096","176,975","183,410","171,245","12.79K","-1.06%"
"2017年05月04日","176,975","169,759","185,000","161,980","15.39K","4.25%"
"2017年05月03日","169,759","166,426","169,988","165,505","8.03K","2.00%"
"2017年05月02日","166,426","161,300","167,978","161,189","12.71K","3.18%"
"2017年05月01日","161,300","149,740","168,000","149,740","15.72K","7.72%"
"2017年04月30日","149,740","147,810","150,000","147,006","4.19K","1.31%"
"2017年04月29日","147,810","149,000","149,200","146,810","3.66K","-0.80%"
"2017年04月28日","149,000","147,999","149,410","144,328","11.45K","0.68%"
"2017年04月27日","147,999","144,287","148,221","143,900","7.52K","2.57%"
"2017年04月26日","144,287","141,696","144,970","141,513","7.23K","1.83%"
"2017年04月25日","141,696","138,140","141,950","138,140","4.45K","2.57%"
"2017年04月24日","138,140","137,958","138,751","137,723","4.84K","0.13%"
"2017年04月23日","137,958","137,631","138,015","136,826","3.76K","0.24%"
"2017年04月22日","137,631","138,146","138,300","134,590","6.14K","-0.37%"
"2017年04月21日","138,146","136,450","138,725","136,421","6.16K","1.24%"
"2017年04月20日","136,450","133,457","136,540","133,310","6.65K","2.24%"
"2017年04月19日","133,457","132,686","133,784","132,500","5.49K","0.58%"
"2017年04月18日","132,686","132,700","133,910","132,540","7.41K","-0.01%"
"2017年04月17日","132,700","131,850","133,500","131,531","7.50K","0.64%"
"2017年04月16日","131,850","131,481","132,592","131,477","5.29K","0.28%"
"2017年04月15日","131,481","131,478","133,230","131,476","5.72K","0.00%"
"2017年04月14日","131,478","130,120","132,600","130,070","8.30K","1.04%"
"2017年04月13日","130,120","133,100","134,174","127,940","14.53K","-2.24%"
"2017年04月12日","133,100","135,300","135,800","133,000","8.46K","-1.63%"
"2017年04月11日","135,300","135,100","135,880","134,872","7.87K","0.15%"
"2017年04月10日","135,100","135,049","135,855","134,500","5.46K","0.04%"
"2017年04月09日","135,049","133,730","135,981","132,400","7.76K","0.99%"
"2017年04月08日","133,730","134,217","134,599","132,935","7.65K","-0.36%"
"2017年04月07日","134,217","133,491","134,700","131,000","9.60K","0.54%"
"2017年04月06日","133,491","127,515","134,719","127,470","14.26K","4.69%"
"2017年04月05日","127,515","128,488","128,749","127,001","10.10K","-0.76%"
"2017年04月04日","128,488","128,200","128,851","125,935","16.14K","0.22%"
"2017年04月03日","128,200","122,925","128,814","122,870","18.35K","4.29%"
"2017年04月02日","122,925","122,797","123,330","121,740","6.71K","0.10%"
"2017年04月01日","122,797","121,339","124,197","120,500","10.92K","1.20%"
"2017年03月31日","121,339","116,438","121,826","116,421","11.09K","4.21%"
"2017年03月30日","116,438","116,610","117,800","115,000","11.36K","-0.15%"
"2017年03月29日","116,610","117,750","119,700","113,807","16.30K","-0.97%"
"2017年03月28日","117,750","117,000","119,777","114,800","15.76K","0.64%"
"2017年03月27日","117,000","108,213","117,201","107,097","19.09K","8.12%"
"2017年03月26日","108,213","110,564","111,900","105,768","20.65K","-2.13%"
"2017年03月25日","110,564","103,300","111,170","98,570","22.36K","7.03%"
"2017年03月24日","103,300","115,810","116,249","102,240","24.23K","-10.80%"
"2017年03月23日","115,810","118,830","119,460","114,900","23.59K","-2.54%"
"2017年03月22日","118,830","127,454","127,475","113,549","25.37K","-6.77%"
"2017年03月21日","127,454","121,650","127,786","121,586","18.51K","4.77%"
"2017年03月20日","121,650","120,051","124,694","119,750","17.03K","1.33%"
"2017年03月19日","120,051","108,687","128,400","108,687","21.41K","10.46%"
"2017年03月18日","108,687","125,510","129,610","105,001","27.49K","-13.40%"
"2017年03月17日","125,510","137,300","137,588","125,000","21.69K","-8.59%"
"2017年03月16日","137,300","145,150","145,214","132,640","17.91K","-5.41%"
"2017年03月15日","145,150","144,675","145,610","143,800","10.74K","0.33%"
"2017年03月14日","144,675","145,330","145,650","143,851","11.08K","-0.45%"
"2017年03月13日","145,330","143,761","145,793","143,320","12.52K","1.09%"
"2017年03月12日","143,761","138,360","144,281","138,316","9.62K","3.90%"
"2017年03月11日","138,360","135,200","140,920","134,658","14.44K","2.34%"
"2017年03月10日","135,200","138,800","147,600","128,431","26.84K","-2.59%"
"2017年03月09日","138,800","135,625","140,656","134,923","17.88K","2.34%"
"2017年03月08日","135,625","142,801","145,600","133,000","42.60K","-5.03%"
"2017年03月07日","142,801","148,211","148,500","140,811","18.15K","-3.65%"
"2017年03月06日","148,211","147,950","148,925","147,691","13.12K","0.18%"
"2017年03月05日","147,950","147,864","148,100","145,491","10.32K","0.06%"
"2017年03月04日","147,864","148,937","149,881","143,500","13.52K","-0.72%"
"2017年03月03日","148,937","147,872","150,000","147,100","20.76K","0.72%"
"2017年03月02日","147,872","144,035","148,800","142,635","26.41K","2.66%"
"2017年03月01日","144,035","138,710","144,070","138,619","18.68K","3.84%"
"2017年02月28日","138,710","135,350","139,090","135,194","19.09K","2.48%"
"2017年02月27日","135,350","134,828","136,562","133,200","19.24K","0.39%"
"2017年02月26日","134,828","131,196","135,481","129,500","19.58K","2.77%"
"2017年02月25日","131,196","136,217","136,740","126,596","20.37K","-3.69%"
"2017年02月24日","136,217","135,800","139,350","130,096","34.44K","0.31%"
"2017年02月23日","135,800","130,182","136,499","129,891","27.61K","4.32%"
"2017年02月22日","130,182","130,995","131,082","128,725","26.59K","-0.62%"
"2017年02月21日","130,995","123,240","131,397","123,201","31.97K","6.29%"
"2017年02月20日","123,240","121,290","123,713","120,871","13.23K","1.61%"
"2017年02月19日","121,290","121,616","121,697","120,501","13.81K","-0.27%"
"2017年02月18日","121,616","121,510","121,998","121,001","16.85K","0.09%"
"2017年02月17日","121,510","119,753","122,000","119,750","25.70K","1.47%"
"2017年02月16日","119,753","117,647","120,000","117,611","22.08K","1.79%"
"2017年02月15日","117,647","116,974","117,956","116,872","15.54K","0.58%"
"2017年02月14日","116,974","115,530","117,494","115,251","22.64K","1.25%"
"2017年02月13日","115,530","114,532","117,279","113,400","19.50K","0.87%"
"2017年02月12日","114,532","114,912","115,070","114,208","12.48K","-0.33%"
"2017年02月11日","114,912","113,915","115,462","112,272","20.14K","0.88%"
"2017年02月10日","113,915","113,797","115,999","109,061","28.17K","0.10%"
"2017年02月09日","113,797","122,495","123,500","103,360","40.28K","-7.10%"
"2017年02月08日","122,495","119,905","123,500","117,500","29.07K","2.16%"
"2017年02月07日","119,905","117,518","119,980","117,325","21.41K","2.03%"
"2017年02月06日","117,518","117,651","117,881","117,005","16.04K","-0.11%"
"2017年02月05日","117,651","117,695","117,924","116,057","18.06K","-0.04%"
"2017年02月04日","117,695","116,856","118,101","115,117","24.71K","0.72%"
"2017年02月03日","116,856","116,360","119,800","115,000","32.26K","0.43%"
"2017年02月02日","116,360","112,846","116,510","112,397","23.79K","3.11%"
"2017年02月01日","112,846","109,415","114,000","109,191","27.50K","3.14%"
"2017年01月31日","109,415","105,830","109,500","105,550","25.78K","3.39%"
"2017年01月30日","105,830","105,901","106,201","105,491","12.62K","-0.07%"
"2017年01月29日","105,901","106,120","106,500","105,800","10.74K","-0.21%"
"2017年01月28日","106,120","105,871","106,390","105,780","10.31K","0.24%"
"2017年01月27日","105,871","105,599","106,300","105,018","15.48K","0.26%"
"2017年01月26日","105,599","102,081","105,637","102,080","19.38K","3.45%"
"2017年01月25日","102,081","103,302","103,600","101,510","15.78K","-1.18%"
"2017年01月24日","103,302","105,042","105,478","101,000","21.84K","-1.66%"
"2017年01月23日","105,042","105,670","106,512","104,599","20.56K","-0.59%"
"2017年01月22日","105,670","105,993","108,682","103,002","24.01K","-0.30%"
"2017年01月21日","105,993","102,768","106,250","102,701","20.06K","3.14%"
"2017年01月20日","102,768","102,613","103,599","101,900","17.50K","0.15%"
"2017年01月19日","102,613","100,714","103,300","100,435","21.33K","1.89%"
"2017年01月18日","100,714","103,797","104,989","96,498","31.87K","-2.97%"
"2017年01月17日","103,797","95,430","104,500","95,357","32.44K","8.77%"
"2017年01月16日","95,430","94,352","96,500","94,212","23.00K","1.14%"
"2017年01月15日","94,352","94,427","95,027","93,014","29.87K","-0.08%"
"2017年01月14日","94,427","95,078","96,990","93,000","37.46K","-0.68%"
"2017年01月13日","95,078","93,101","96,852","90,225","40.48K","2.12%"
"2017年01月12日","93,101","90,700","96,336","86,000","38.73K","2.65%"
"2017年01月11日","90,700","107,224","109,249","89,095","47.08K","-15.41%"
"2017年01月10日","107,224","105,004","107,999","104,263","34.72K","2.11%"
"2017年01月09日","105,004","108,288","108,452","103,493","27.40K","-3.03%"
"2017年01月08日","108,288","109,509","113,000","105,456","31.94K","-1.11%"
"2017年01月07日","109,509","111,794","112,871","99,900","25.24K","-2.04%"
"2017年01月06日","111,794","117,450","133,999","104,698","25.63K","-4.82%"
"2017年01月05日","117,450","142,704","152,232","103,400","36.54K","-17.70%"
"2017年01月04日","142,704","122,833","142,760","122,800","44.16K","16.18%"
"2017年01月03日","122,833","122,337","123,213","121,320","45.05K","0.51%"
"2017年01月02日","122,210","120,735","123,000","120,200","8.11K","1.22%"
"2017年01月01日","120,735","115,846","121,208","115,302","25.43K","4.22%"
"2016年12月31日","115,846","115,880","115,980","113,630","36.34K","0.03%"
"2016年12月30日","115,814","116,864","117,300","110,900","34.80K","-0.90%"
"2016年12月29日","116,864","118,208","119,968","113,500","28.35K","-0.86%"
"2016年12月28日","117,881","111,462","118,177","111,040","24.91K","5.76%"
"2016年12月27日","111,462","108,121","113,466","107,500","25.47K","3.09%"
"2016年12月26日","108,121","107,455","108,998","105,578","23.37K","0.62%"
"2016年12月25日","107,455","108,061","108,810","103,496","26.05K","-0.56%"
"2016年12月24日","108,061","110,662","110,840","107,084","18.97K","-2.35%"
"2016年12月23日","110,662","105,377","111,218","105,151","24.10K","5.02%"
"2016年12月22日","105,377","102,799","109,890","102,270","26.78K","5.34%"
"2016年12月21日","100,035","95,776","100,130","95,730","20.36K","4.41%"
